Financial Instrument,Volume ($),Change %,Sector,Volume/Min,Average Volume ($),Average Volume,Industry,Category,Bid,Imbalance,Ask,
SFT,3302964.0,-0.0202774813233726,"Consumer, Cyclical",1200.0,17350200.00,1890000.0,Retail,Retail-Automobile,9.16,NoMD,9.18,
SHAK,28381535.00,-0.034309423122955374,"Consumer, Cyclical",4200.0,99692411.00,823700.0,Retail,Retail-Restaurants,120.78,NoMD,121.07,
SPH,2425262.0,-0.0013333333333333049,"Consumer, Cyclical",989.9494936611666,5019798.0,335100.0,Retail,Retail-Propane Distrib,14.98,NoMD,15.05,
SPWH,3863279.0,-0.0011474469305794363,"Consumer, Cyclical",600.0,30963684.00,1778500.0,Retail,Retail-Sporting Goods,17.40,NoMD,17.41,
STKS,168810.0,-0.05027932960893847,"Consumer, Cyclical",100.0,478380.0,93800.0,Retail,Retail-Restaurants,5.06,NoMD,5.09,
TA,1125251.0,-0.04102067183462531,"Consumer, Cyclical",800.0,3927987.0,132300.0,Retail,Retail-Petroleum Prod,29.38,NoMD,29.73,
TACO,499950.0,-0.019417475728155442,"Consumer, Cyclical",141.4213562373095,2687610.0,266100.0,Retail,Retail-Restaurants,10.06,NoMD,10.11,
TANNI,101010.0,-0.0007716,"Consumer, Cyclical",0.0,116550.0,4500.0,Retail,Retail-Petroleum Prod,25.85,NoMD,25.92,
TANNL,73515.0,-0.0027537372147915136,"Consumer, Cyclical",0.0,185055.0,7300.0,Retail,Retail-Petroleum Prod,25.35,NoMD,25.48,
TANNZ,25520.0,-0.0027354435326299447,"Consumer, Cyclical",0.0,114840.0,4500.0,Retail,Retail-Petroleum Prod,25.51,NoMD,25.54,
TAST,389276.0,-0.03154574132492116,"Consumer, Cyclical",4200.0,2237416.0,364400.0,Retail,Retail-Restaurants,6.14,NoMD,6.15,
TCS,8026980.0,-0.03954081632653067,"Consumer, Cyclical",200.0,20300880.00,1348000.0,Retail,Retail-Misc/Diversified,15.03,NoMD,15.06,
TGT,280961208.00,-0.0019777635236262804,"Consumer, Cyclical",2687.0057685088805,656640399.00,3516900.0,Retail,Retail-Discount,186.68,NoMD,186.77,
TJX,283889392.00,-0.05067277411966779,"Consumer, Cyclical",15600.0,447945176.00,6754300.0,Retail,Retail-Major Dept Store,66.28,NoMD,66.32,
TXRH,75263868.00,-0.03367357676523206,"Consumer, Cyclical",5000.0,70608087.00,768900.0,Retail,Retail-Restaurants,91.82,NoMD,92.13,
VRM,24861252.00,-0.04519774011299446,"Consumer, Cyclical",2600.0,126217650.00,2872500.0,Retail,Retail-Automobile,43.91,NoMD,43.96,
WBA,90603039.00,-0.001220256253813347,"Consumer, Cyclical",3394.1125496954282,340229169.00,6927900.0,Retail,Retail-Drug Store,49.11,NoMD,49.13,
WEN,18108805.00,-0.013705335291238257,"Consumer, Cyclical",5600.0,47015995.00,2333300.0,Retail,Retail-Restaurants,20.15,NoMD,20.16,
WING,19359744.00,-0.035069699192956716,"Consumer, Cyclical",565.685424949238,59907360.00,455500.0,Retail,Retail-Restaurants,131.50,NoMD,131.88,
WMT,531467937.00,0.0,"Consumer, Cyclical",16000.000000000002,1099075747.00,8250700.0,Retail,Retail-Discount,133.19,,133.22,
WOOF,13606179.00,-0.019257221458046685,"Consumer, Cyclical",32000.000000000004,109993797.00,5142300.0,Retail,Retail-Pet Food&Supplies,21.37,NoMD,21.40,
WTRH,2441946.0,-0.027943925233644758,"Consumer, Cyclical",4600.0,11644023.00,3731700.0,Retail,Retail-Restaurants,3.12,NoMD,3.13,
YUM,34984972.00,-0.005922812380588503,"Consumer, Cyclical",4000.0000000000005,176943624.00,1700400.0,Retail,Retail-Restaurants,104.01,NoMD,104.07,
YUMC,116405151.00,-0.008950770760815501,"Consumer, Cyclical",2200.0,116100222.00,1941800.0,Retail,Retail-Restaurants,59.78,NoMD,59.81,
ZUMZ,1694480.0,-0.016461762867263995,"Consumer, Cyclical",282.842712474619,12158720.00,257600.0,Retail,Retail-Sporting Goods,47.18,NoMD,47.36,
