Symbol,Date,Close,Open,Bid,Ask,Last,Volume,AvgVolume,VolumeFirstMinute
MNSO,2021-01-06 19:50:00,26.74,26.54,28.46,28.46,28.46,11,36.54,126
MNSO,2021-01-06 19:51:00,26.74,26.54,28.48,28.48,28.48,1,36.54,126
MNSO,2021-01-06 19:52:00,26.74,26.54,28.54,28.54,28.54,60,36.54,126
MNSO,2021-01-06 19:53:00,26.74,26.54,28.56,28.56,28.56,12,36.54,126
MNSO,2021-01-06 19:54:00,26.74,26.54,28.73,28.73,28.73,20,36.54,126
MNSO,2021-01-06 19:55:00,26.74,26.54,28.75,28.75,28.75,7,36.54,126
MNSO,2021-01-06 19:56:00,26.74,26.54,28.84,28.84,28.84,26,36.54,126
MNSO,2021-01-06 19:57:00,26.74,26.54,28.97,28.97,28.97,37,36.54,126
MNSO,2021-01-06 19:58:00,26.74,26.54,28.94,28.94,28.94,22,36.54,126
MNSO,2021-01-06 19:59:00,26.74,26.54,28.93,28.93,28.93,16,36.54,126
MNSO,2021-01-06 20:00:00,26.74,26.54,28.91,28.91,28.91,18,36.54,126
MNSO,2021-01-06 20:01:00,26.74,26.54,28.86,28.86,28.86,19,36.54,126
MNSO,2021-01-06 20:02:00,26.74,26.54,28.79,28.79,28.79,1,36.54,126
MNSO,2021-01-06 20:03:00,26.74,26.54,28.77,28.77,28.77,110,36.54,126
MNSO,2021-01-06 20:04:00,26.74,26.54,28.7,28.7,28.7,72,36.54,126
MNSO,2021-01-06 20:05:00,26.74,26.54,28.73,28.73,28.73,84,36.54,126
MNSO,2021-01-06 20:06:00,26.74,26.54,28.73,28.73,28.73,51,36.54,126
MNSO,2021-01-06 20:07:00,26.74,26.54,28.75,28.75,28.75,20,36.54,126
MNSO,2021-01-06 20:08:00,26.74,26.54,28.76,28.76,28.76,49,36.54,126
MNSO,2021-01-06 20:09:00,26.74,26.54,28.79,28.79,28.79,50,36.54,126
MNSO,2021-01-06 20:10:00,26.74,26.54,28.77,28.77,28.77,16,36.54,126
MNSO,2021-01-06 20:11:00,26.74,26.54,28.75,28.75,28.75,97,36.54,126
MNSO,2021-01-06 20:12:00,26.74,26.54,28.71,28.71,28.71,3,36.54,126
MNSO,2021-01-06 20:13:00,26.74,26.54,28.84,28.84,28.84,77,36.54,126
MNSO,2021-01-06 20:14:00,26.74,26.54,28.88,28.88,28.88,25,36.54,126
MNSO,2021-01-06 20:15:00,26.74,26.54,28.91,28.91,28.91,56,36.54,126
MNSO,2021-01-06 20:16:00,26.74,26.54,28.92,28.92,28.92,32,36.54,126
MNSO,2021-01-06 20:17:00,26.74,26.54,28.93,28.93,28.93,49,36.54,126
MNSO,2021-01-06 20:18:00,26.74,26.54,28.92,28.92,28.92,44,36.54,126
MNSO,2021-01-06 20:19:00,26.74,26.54,28.93,28.93,28.93,45,36.54,126
MNSO,2021-01-06 20:20:00,26.74,26.54,28.92,28.92,28.92,22,36.54,126
MNSO,2021-01-06 20:21:00,26.74,26.54,28.97,28.97,28.97,58,36.54,126
MNSO,2021-01-06 20:22:00,26.74,26.54,28.97,28.97,28.97,12,36.54,126
MNSO,2021-01-06 20:23:00,26.74,26.54,28.95,28.95,28.95,41,36.54,126
MNSO,2021-01-06 20:24:00,26.74,26.54,28.91,28.91,28.91,7,36.54,126
MNSO,2021-01-06 20:25:00,26.74,26.54,28.88,28.88,28.88,14,36.54,126
MNSO,2021-01-06 20:26:00,26.74,26.54,28.93,28.93,28.93,58,36.54,126
MNSO,2021-01-06 20:27:00,26.74,26.54,28.95,28.95,28.95,111,36.54,126
MNSO,2021-01-06 20:28:00,26.74,26.54,28.94,28.94,28.94,13,36.54,126
MNSO,2021-01-06 20:29:00,26.74,26.54,29.0,29.0,29.0,29,36.54,126
MNSO,2021-01-06 20:30:00,26.74,26.54,28.97,28.97,28.97,3,36.54,126
MNSO,2021-01-06 20:31:00,26.74,26.54,28.98,28.98,28.98,10,36.54,126
MNSO,2021-01-06 20:32:00,26.74,26.54,28.91,28.91,28.91,65,36.54,126
MNSO,2021-01-06 20:33:00,26.74,26.54,28.89,28.89,28.89,40,36.54,126
MNSO,2021-01-06 20:34:00,26.74,26.54,28.96,28.96,28.96,54,36.54,126
MNSO,2021-01-06 20:35:00,26.74,26.54,28.96,28.96,28.96,16,36.54,126
MNSO,2021-01-06 20:36:00,26.74,26.54,28.95,28.95,28.95,27,36.54,126
MNSO,2021-01-06 20:37:00,26.74,26.54,28.97,28.97,28.97,51,36.54,126
MNSO,2021-01-06 20:38:00,26.74,26.54,28.97,28.97,28.97,102,36.54,126
MNSO,2021-01-06 20:39:00,26.74,26.54,28.99,28.99,28.99,28,36.54,126
MNSO,2021-01-06 20:40:00,26.74,26.54,29.0,29.0,29.0,45,36.54,126
MNSO,2021-01-06 20:41:00,26.74,26.54,29.0,29.0,29.0,44,36.54,126
MNSO,2021-01-06 20:42:00,26.74,26.54,28.98,28.98,28.98,41,36.54,126
MNSO,2021-01-06 20:43:00,26.74,26.54,28.96,28.96,28.96,54,36.54,126
MNSO,2021-01-06 20:44:00,26.74,26.54,28.91,28.91,28.91,55,36.54,126
MNSO,2021-01-06 20:45:00,26.74,26.54,28.95,28.95,28.95,90,36.54,126
MNSO,2021-01-06 20:46:00,26.74,26.54,28.94,28.94,28.94,57,36.54,126
MNSO,2021-01-06 20:47:00,26.74,26.54,28.94,28.94,28.94,45,36.54,126
MNSO,2021-01-06 20:48:00,26.74,26.54,28.93,28.93,28.93,79,36.54,126
MNSO,2021-01-06 20:49:00,26.74,26.54,28.97,28.97,28.97,62,36.54,126
MNSO,2021-01-06 20:50:00,26.74,26.54,28.99,28.99,28.99,86,36.54,126
MNSO,2021-01-06 20:51:00,26.74,26.54,29.0,29.0,29.0,89,36.54,126
MNSO,2021-01-06 20:52:00,26.74,26.54,29.0,29.0,29.0,18,36.54,126
MNSO,2021-01-06 20:53:00,26.74,26.54,29.0,29.0,29.0,98,36.54,126
MNSO,2021-01-06 20:54:00,26.74,26.54,28.99,28.99,28.99,72,36.54,126
MNSO,2021-01-06 20:55:00,26.74,26.54,29.01,29.01,29.01,47,36.54,126
MNSO,2021-01-06 20:56:00,26.74,26.54,29.0,29.0,29.0,156,36.54,126
MNSO,2021-01-06 20:57:00,26.74,26.54,29.03,29.03,29.03,75,36.54,126
MNSO,2021-01-06 20:58:00,26.74,26.54,29.03,29.03,29.03,61,36.54,126
MNSO,2021-01-06 20:59:00,26.74,26.54,29.04,29.04,29.04,206,36.54,126
MNSO,2021-01-07 14:30:00,29.0,28.61,28.63,28.63,28.63,65,35.0,65
MNSO,2021-01-07 14:31:00,29.0,28.61,28.93,28.93,28.93,5,35.0,65
MNSO,2021-01-07 14:32:00,29.0,28.61,29.0,29.0,29.0,51,35.0,65
MNSO,2021-01-07 14:33:00,29.0,28.61,29.43,29.43,29.43,71,35.0,65
MNSO,2021-01-07 14:34:00,29.0,28.61,29.37,29.37,29.37,63,35.0,65
MNSO,2021-01-07 14:35:00,29.0,28.61,29.25,29.25,29.25,7,35.0,65
MNSO,2021-01-07 14:36:00,29.0,28.61,29.23,29.23,29.23,26,35.0,65
MNSO,2021-01-07 14:37:00,29.0,28.61,28.95,28.95,28.95,6,35.0,65
MNSO,2021-01-07 14:38:00,29.0,28.61,28.71,28.71,28.71,7,35.0,65
MNSO,2021-01-07 14:39:00,29.0,28.61,28.42,28.42,28.42,77,35.0,65
MNSO,2021-01-07 14:40:00,29.0,28.61,28.66,28.66,28.66,99,35.0,65
MNSO,2021-01-07 14:41:00,29.0,28.61,28.75,28.75,28.75,14,35.0,65
MNSO,2021-01-07 14:42:00,29.0,28.61,28.61,28.61,28.61,11,35.0,65
MNSO,2021-01-07 14:43:00,29.0,28.61,28.59,28.59,28.59,15,35.0,65
MNSO,2021-01-07 14:44:00,29.0,28.61,28.47,28.47,28.47,7,35.0,65
MNSO,2021-01-07 14:45:00,29.0,28.61,28.27,28.27,28.27,53,35.0,65
MNSO,2021-01-07 14:46:00,29.0,28.61,28.21,28.21,28.21,24,35.0,65
MNSO,2021-01-07 14:47:00,29.0,28.61,28.31,28.31,28.31,56,35.0,65
MNSO,2021-01-07 14:48:00,29.0,28.61,28.19,28.19,28.19,117,35.0,65
MNSO,2021-01-07 14:49:00,29.0,28.61,28.18,28.18,28.18,17,35.0,65
MNSO,2021-01-07 14:50:00,29.0,28.61,28.24,28.24,28.24,15,35.0,65
