Symbol,Exchange,Currency
CHPT,SMART,USD
FOXF,SMART,USD
AYI,SMART,USD
SWCH,SMART,USD
DNLI,SMART,USD
GBCI,SMART,USD
LITE,SMART,USD
ROLL,SMART,USD
ASGN,SMART,USD
MDU,SMART,USD
AMKR,SMART,USD
SPCE,SMART,USD
UPWK,SMART,USD
RBC,SMART,USD
JOBY,SMART,USD
STMP,SMART,USD
FIGS,SMART,USD
CHK,SMART,USD
HBI,SMART,USD
INOV,SMART,USD
YOU,SMART,USD
DCP,SMART,USD
LEG,SMART,USD
INGR,SMART,USD
STAA,SMART,USD
POWI,SMART,USD
EXPI,SMART,USD
LSTR,SMART,USD
WCC,SMART,USD
MAN,SMART,USD
CWEN,SMART,USD
INMD,SMART,USD
AR,SMART,USD
DUOL,SMART,USD
AMBP,SMART,USD
RRC,SMART,USD
ALGM,SMART,USD
MSTR,SMART,USD
EXPO,SMART,USD
BPMC,SMART,USD
LPX,SMART,USD
RARE,SMART,USD
NEO,SMART,USD
CRCT,SMART,USD
SON,SMART,USD
NEP,SMART,USD
HGV,SMART,USD
ACHC,SMART,USD
IART,SMART,USD
GPK,SMART,USD
X,SMART,USD
EVBG,SMART,USD
SPSC,SMART,USD
CLH,SMART,USD
REYN,SMART,USD
COMP,SMART,USD
HALO,SMART,USD
DCT,SMART,USD
ARD,SMART,USD
ALLK,SMART,USD
VNT,SMART,USD
VVV,SMART,USD
IGT,SMART,USD
BEAM,SMART,USD
WOOF,SMART,USD
ZIM,SMART,USD
KBR,SMART,USD
CR,SMART,USD
MP,SMART,USD
MCW,SMART,USD
HOG,SMART,USD
FATE,SMART,USD
EXP,SMART,USD
OZK,SMART,USD
AMBA,SMART,USD
AZEK,SMART,USD
SWN,SMART,USD
QDEL,SMART,USD
NVT,SMART,USD
CZOO,SMART,USD
HQY,SMART,USD
PSFE,SMART,USD
ORCC,SMART,USD
ASH,SMART,USD
VLY,SMART,USD
HFC,SMART,USD
CERT,SMART,USD
ALTR,SMART,USD
ESI,SMART,USD
TFSL,SMART,USD
EVR,SMART,USD
PACW,SMART,USD
MDLA,SMART,USD
SLM,SMART,USD
AMN,SMART,USD
NFE,SMART,USD
SSB,SMART,USD
NCR,SMART,USD
SQSP,SMART,USD
NATI,SMART,USD
DV,SMART,USD
LAZ,SMART,USD
RDFN,SMART,USD
ELY,SMART,USD
CIT,SMART,USD
UNM,SMART,USD
IRDM,SMART,USD
LFST,SMART,USD
IDA,SMART,USD
NOV,SMART,USD
LAZR,SMART,USD
MMS,SMART,USD
MTG,SMART,USD
CW,SMART,USD
CDK,SMART,USD
BWXT,SMART,USD
GT,SMART,USD
TWST,SMART,USD
JBLU,SMART,USD
ADS,SMART,USD
BHG,SMART,USD
PACB,SMART,USD
TLRY,SMART,USD
PGNY,SMART,USD
AM,SMART,USD
HXL,SMART,USD
TMX,SMART,USD
TKR,SMART,USD
ESNT,SMART,USD
TRIP,SMART,USD
WBS,SMART,USD
AB,SMART,USD
HRI,SMART,USD
SMTC,SMART,USD
LZ,SMART,USD
FLO,SMART,USD
WING,SMART,USD
NEGG,SMART,USD
HLF,SMART,USD
HAYW,SMART,USD
NOMD,SMART,USD
KOD,SMART,USD
ALKS,SMART,USD
AYX,SMART,USD
VMEO,SMART,USD
TENB,SMART,USD
WEN,SMART,USD
ICUI,SMART,USD
AMEH,SMART,USD
SAIC,SMART,USD
STL,SMART,USD
FIZZ,SMART,USD
CC,SMART,USD
TNL,SMART,USD
NFG,SMART,USD
SEM,SMART,USD
SHLS,SMART,USD
PWSC,SMART,USD
HHC,SMART,USD
FLYW,SMART,USD
GTES,SMART,USD
WEBR,SMART,USD
LHCG,SMART,USD
FL,SMART,USD
SPR,SMART,USD
DRVN,SMART,USD
VSCO,SMART,USD
TGTX,SMART,USD
ABCL,SMART,USD
UMBF,SMART,USD
APG,SMART,USD
CHX,SMART,USD
AL,SMART,USD
DSEY,SMART,USD
CRUS,SMART,USD
IONS,SMART,USD
UBSI,SMART,USD
CLDR,SMART,USD
NEWR,SMART,USD
FSLY,SMART,USD
AMED,SMART,USD
PINC,SMART,USD
WTFC,SMART,USD
ADPT,SMART,USD
ATC,SMART,USD
PZZA,SMART,USD
NEOG,SMART,USD
SEAS,SMART,USD
JAMF,SMART,USD
FCN,SMART,USD
VIRT,SMART,USD
AWI,SMART,USD
MTDR,SMART,USD
AI,SMART,USD
RVLV,SMART,USD
HLNE,SMART,USD
QTWO,SMART,USD
FLS,SMART,USD
MSGS,SMART,USD
SHLX,SMART,USD
AQUA,SMART,USD
SIGI,SMART,USD
DTM,SMART,USD
JBT,SMART,USD
HRB,SMART,USD
UMPQ,SMART,USD
EYE,SMART,USD
MSM,SMART,USD
CXM,SMART,USD
MTTR,SMART,USD
HE,SMART,USD
MTSI,SMART,USD
ARVN,SMART,USD
VIR,SMART,USD
OCDX,SMART,USD
R,SMART,USD
ETRN,SMART,USD
SFIX,SMART,USD
LPRO,SMART,USD
OPCH,SMART,USD
MC,SMART,USD
CERE,SMART,USD
NSP,SMART,USD
TGNA,SMART,USD
ENV,SMART,USD
AEO,SMART,USD
COUR,SMART,USD
WWE,SMART,USD
FSR,SMART,USD
OLO,SMART,USD
CRI,SMART,USD
MUSA,SMART,USD
MGY,SMART,USD
KMPR,SMART,USD
QLYS,SMART,USD
RDN,SMART,USD
SIG,SMART,USD
LIVN,SMART,USD
SPWR,SMART,USD
AVNT,SMART,USD
PDCE,SMART,USD
MIME,SMART,USD
FEYE,SMART,USD
QRTEA,SMART,USD
JWN,SMART,USD
PNM,SMART,USD
SSTK,SMART,USD
LPSN,SMART,USD
UFPI,SMART,USD
NKLA,SMART,USD
POR,SMART,USD
CWK,SMART,USD
AMRS,SMART,USD
EXLS,SMART,USD
HWC,SMART,USD
UNVR,SMART,USD
NVRO,SMART,USD
SAFM,SMART,USD
RSI,SMART,USD
SPB,SMART,USD
ENSG,SMART,USD
HAIN,SMART,USD
SLGN,SMART,USD
VSAT,SMART,USD
VG,SMART,USD
DIOD,SMART,USD
ATKR,SMART,USD
IOVA,SMART,USD
MMSI,SMART,USD
KFY,SMART,USD
MUR,SMART,USD
PPBI,SMART,USD
SONO,SMART,USD
SABR,SMART,USD
BKU,SMART,USD
SAIL,SMART,USD
HOMB,SMART,USD
SNDR,SMART,USD
BKH,SMART,USD
SWX,SMART,USD
SANA,SMART,USD
ETWO,SMART,USD
LMND,SMART,USD
VTEX,SMART,USD
CWST,SMART,USD
STEP,SMART,USD
SXT,SMART,USD
SITM,SMART,USD
ALRM,SMART,USD
ADNT,SMART,USD
PSTH,SMART,USD
LOPE,SMART,USD
SUM,SMART,USD
PRFT,SMART,USD
NARI,SMART,USD
APAM,SMART,USD
SKLZ,SMART,USD
IBRX,SMART,USD
SIX,SMART,USD
LESL,SMART,USD
OLLI,SMART,USD
CNMD,SMART,USD
AXS,SMART,USD
MSP,SMART,USD
VZIO,SMART,USD
ONEM,SMART,USD
VNE,SMART,USD
SGFY,SMART,USD
EBC,SMART,USD
CARG,SMART,USD
FN,SMART,USD
BHF,SMART,USD
FHB,SMART,USD
MXL,SMART,USD
LTHM,SMART,USD
CSOD,SMART,USD
ABG,SMART,USD
AY,SMART,USD
TROX,SMART,USD
ISBC,SMART,USD
SDGR,SMART,USD
PFSI,SMART,USD
FOCS,SMART,USD
ALSN,SMART,USD
RETA,SMART,USD
FNB,SMART,USD
FELE,SMART,USD
ORA,SMART,USD
AVT,SMART,USD
BRDG,SMART,USD
ATCO,SMART,USD
BOX,SMART,USD
ASO,SMART,USD
FRHC,SMART,USD
RCII,SMART,USD
GENI,SMART,USD
CMC,SMART,USD
MPLN,SMART,USD
KNBE,SMART,USD
MGNI,SMART,USD
CBU,SMART,USD
SUN,SMART,USD
SGRY,SMART,USD
NOVA,SMART,USD
DEN,SMART,USD
ABCB,SMART,USD
WD,SMART,USD
ACIW,SMART,USD
RXRX,SMART,USD
RYAN,SMART,USD
HAE,SMART,USD
ARNA,SMART,USD
MTH,SMART,USD
BRP,SMART,USD
AIMC,SMART,USD
CCMP,SMART,USD
IHRT,SMART,USD
CPA,SMART,USD
BIGC,SMART,USD
KLIC,SMART,USD
