Symbol,Exchange,Currency,Trades Found,Take Profit,Profit,StopLoss,Loss,Wins,%
KDP,SMART,USD,1,0,1,0,0,1,100
TPH,SMART,USD,1,0,1,0,0,1,100
ELAN,SMART,USD,1,0,1,0,0,1,100
TROW,SMART,USD,1,0,1,0,0,1,100
NVMI,SMART,USD,1,0,1,0,0,1,100
NTNX,SMART,USD,1,0,1,0,0,1,100
OTEX,SMART,USD,1,0,1,0,0,1,100
IEA,SMART,USD,1,0,1,0,0,1,100
ELVT,SMART,USD,1,0,1,0,0,1,100
KOD,SMART,USD,1,0,1,0,0,1,100
UBS,SMART,USD,1,0,1,0,0,1,100
GNCA,SMART,USD,1,0,1,0,0,1,100
ADXS,SMART,USD,1,0,1,0,0,1,100
OTRK,SMART,USD,1,0,1,0,0,1,100
AZPN,SMART,USD,1,0,1,0,0,1,100
ALRM,SMART,USD,1,0,1,0,0,1,100
VIVO,SMART,USD,1,0,1,0,0,1,100
BDSI,SMART,USD,1,0,1,0,0,1,100
TOPS,SMART,USD,1,0,1,0,0,1,100
UA,SMART,USD,1,0,1,0,0,1,100
CDLX,SMART,USD,1,0,1,0,0,1,100
TNXP,SMART,USD,1,0,1,0,0,1,100
XENT,SMART,USD,1,0,1,0,0,1,100
SENS,SMART,USD,1,0,1,0,0,1,100
ABCB,SMART,USD,1,0,1,0,0,1,100
TLYS,SMART,USD,1,0,1,0,0,1,100
ZEN,SMART,USD,1,0,1,0,0,1,100
EVFM,SMART,USD,1,0,1,0,0,1,100
JYNT,SMART,USD,1,0,1,0,0,1,100
FIXX,SMART,USD,1,0,1,0,0,1,100
ACRX,SMART,USD,1,0,1,0,0,1,100
WTM,SMART,USD,1,0,1,0,0,1,100
NEON,SMART,USD,1,0,1,0,0,1,100
MAS,SMART,USD,1,0,1,0,0,1,100
WMB,SMART,USD,1,0,1,0,0,1,100
SSTK,SMART,USD,1,0,1,0,0,1,100
IDCC,SMART,USD,1,0,1,0,0,1,100
ZUO,SMART,USD,1,0,1,0,0,1,100
EBIX,SMART,USD,1,0,1,0,0,1,100
EW,SMART,USD,1,0,1,0,0,1,100
ARTL,SMART,USD,1,0,1,0,0,1,100
ITGR,SMART,USD,1,0,1,0,0,1,100
SLS,SMART,USD,1,0,1,0,0,1,100
LMAT,SMART,USD,1,0,1,0,0,1,100
NXTC,SMART,USD,1,0,1,0,0,1,100
PYPL,SMART,USD,1,0,1,0,0,1,100
JOBS,SMART,USD,1,0,1,0,0,1,100
CRIS,SMART,USD,1,0,1,0,0,1,100
ORI,SMART,USD,1,0,1,0,0,1,100
HMN,SMART,USD,1,0,1,0,0,1,100
ATIF,SMART,USD,1,0,1,0,0,1,100
GTX,SMART,USD,1,0,1,0,0,1,100
BTCY,SMART,USD,1,0,1,0,0,1,100
SWTX,SMART,USD,1,0,1,0,0,1,100
AEP,SMART,USD,1,0,1,0,0,1,100
NI,SMART,USD,1,0,1,0,0,1,100
OGE,SMART,USD,1,0,1,0,0,1,100
HE,SMART,USD,1,0,1,0,0,1,100
PNM,SMART,USD,1,0,1,0,0,1,100
BKH,SMART,USD,1,0,1,0,0,1,100
FCFS,SMART,USD,1,0,1,0,0,1,100
FCF,SMART,USD,1,0,1,0,0,1,100
TCON,SMART,USD,1,0,1,0,0,1,100
ANAT,SMART,USD,1,0,1,0,0,1,100
DISCB,SMART,USD,1,0,1,0,0,1,100
EB,SMART,USD,1,0,1,0,0,1,100
IBIO,SMART,USD,1,0,1,0,0,1,100
AEHR,SMART,USD,1,0,1,0,0,1,100
ATEN,SMART,USD,1,0,1,0,0,1,100
ENLV,SMART,USD,1,0,1,0,0,1,100
CHRS,SMART,USD,1,0,1,0,0,1,100
ALRN,SMART,USD,1,0,1,0,0,1,100
DNLI,SMART,USD,1,0,1,0,0,1,100
TTCF,SMART,USD,1,0,1,0,0,1,100
CYCC,SMART,USD,1,0,1,0,0,1,100
CRMT,SMART,USD,1,0,1,0,0,1,100
FMBI,SMART,USD,1,0,1,0,0,1,100
DMTK,SMART,USD,1,0,1,0,0,1,100
NLS,SMART,USD,1,0,1,0,0,1,100
SURF,SMART,USD,1,0,1,0,0,1,100
EBON,SMART,USD,1,0,1,0,0,1,100
PKI,SMART,USD,1,0,1,0,0,1,100
SNBR,SMART,USD,1,0,1,0,0,1,100
CLSK,SMART,USD,1,0,1,0,0,1,100
PHR,SMART,USD,1,0,1,0,0,1,100
HEAR,SMART,USD,1,0,1,0,0,1,100
BCEI,SMART,USD,1,0,1,0,0,1,100
JACK,SMART,USD,1,0,1,0,0,1,100
ELYS,SMART,USD,1,0,1,0,0,1,100
BCEL,SMART,USD,1,0,1,0,0,1,100
MRVL,SMART,USD,1,0,1,0,0,1,100
FLEX,SMART,USD,1,0,1,0,0,1,100
MCRB,SMART,USD,1,0,1,0,0,1,100
TTD,SMART,USD,1,0,1,0,0,1,100
AXTA,SMART,USD,1,0,1,0,0,1,100
SGRY,SMART,USD,1,0,1,0,0,1,100
WTS,SMART,USD,1,0,1,0,0,1,100
CCS,SMART,USD,1,0,1,0,0,1,100
SWI,SMART,USD,1,0,1,0,0,1,100
CTOS,SMART,USD,1,0,1,0,0,1,100
WVE,SMART,USD,1,0,1,0,0,1,100
WH,SMART,USD,1,0,1,0,0,1,100
DGX,SMART,USD,1,0,1,0,0,1,100
RDNT,SMART,USD,1,0,1,0,0,1,100
CSLT,SMART,USD,1,0,1,0,0,1,100
MARK,SMART,USD,1,0,1,0,0,1,100
VNDA,SMART,USD,1,0,1,0,0,1,100
ASPN,SMART,USD,1,0,1,0,0,1,100
HL,SMART,USD,1,0,1,0,0,1,100
AUMN,SMART,USD,1,0,1,0,0,1,100
PLMR,SMART,USD,1,0,1,0,0,1,100
CRHC,SMART,USD,1,0,1,0,0,1,100
PXD,SMART,USD,1,0,1,0,0,1,100
INDB,SMART,USD,1,0,1,0,0,1,100
SASR,SMART,USD,1,0,1,0,0,1,100
MFC,SMART,USD,1,0,1,0,0,1,100
MHO,SMART,USD,1,0,1,0,0,1,100
ATRC,SMART,USD,1,0,1,0,0,1,100
ACEL,SMART,USD,1,0,1,0,0,1,100
MGA,SMART,USD,1,0,1,0,0,1,100
KALU,SMART,USD,1,0,1,0,0,1,100
EMKR,SMART,USD,1,0,1,0,0,1,100
GNOG,SMART,USD,1,0,1,0,0,1,100
ECOM,SMART,USD,1,0,1,0,0,1,100
NS,SMART,USD,1,0,1,0,0,1,100
AB,SMART,USD,1,0,1,0,0,1,100
GBX,SMART,USD,1,0,1,0,0,1,100
PANW,SMART,USD,1,0,1,0,0,1,100
SCPS,SMART,USD,1,0,1,0,0,1,100
SILK,SMART,USD,1,0,1,0,0,1,100
AMST,SMART,USD,1,0,1,0,0,1,100
SHW,SMART,USD,1,0,1,0,0,1,100
DNB,SMART,USD,1,0,1,0,0,1,100
ADPT,SMART,USD,1,0,1,0,0,1,100
TPGY,SMART,USD,1,0,1,0,0,1,100
LHCG,SMART,USD,1,0,1,0,0,1,100
ENTG,SMART,USD,1,0,1,0,0,1,100
ORMP,SMART,USD,1,0,1,0,0,1,100
JHG,SMART,USD,1,0,1,0,0,1,100
BMI,SMART,USD,1,0,1,0,0,1,100
LMRK,SMART,USD,1,0,1,0,0,1,100
SEMR,SMART,USD,1,0,1,0,0,1,100
TWND,SMART,USD,1,0,1,0,0,1,100
CCCC,SMART,USD,1,0,1,0,0,1,100
ROAD,SMART,USD,1,0,1,0,0,1,100
GSMG,SMART,USD,1,0,1,0,0,1,100
VSTO,SMART,USD,1,0,1,0,0,1,100
BHG,SMART,USD,1,0,1,0,0,1,100
OPFI,SMART,USD,1,0,1,0,0,1,100
LAZ,SMART,USD,6,2,3,1,0,5,83.33
ODP,SMART,USD,5,2,2,1,0,4,80
CRM,SMART,USD,5,2,2,1,0,4,80
PTCT,SMART,USD,5,2,2,1,0,4,80
DCP,SMART,USD,5,1,3,1,0,4,80
NVTA,SMART,USD,4,3,0,1,0,3,75
PPG,SMART,USD,4,2,1,1,0,3,75
INTC,SMART,USD,4,2,1,1,0,3,75
NVAX,SMART,USD,4,2,1,1,0,3,75
SON,SMART,USD,4,1,2,0,1,3,75
CASH,SMART,USD,4,1,2,1,0,3,75
FIZZ,SMART,USD,4,1,2,1,0,3,75
KIRK,SMART,USD,4,1,2,1,0,3,75
ARDX,SMART,USD,4,1,2,1,0,3,75
PFS,SMART,USD,4,1,2,1,0,3,75
ACM,SMART,USD,4,1,2,1,0,3,75
NEO,SMART,USD,4,1,2,1,0,3,75
ALTR,SMART,USD,4,1,2,1,0,3,75
CACI,SMART,USD,4,0,3,0,1,3,75
DHI,SMART,USD,4,0,3,1,0,3,75
PENN,SMART,USD,4,0,3,1,0,3,75
FWONK,SMART,USD,4,0,3,1,0,3,75
VRTX,SMART,USD,4,0,3,1,0,3,75
TLRY,SMART,USD,4,0,3,1,0,3,75
KMT,SMART,USD,7,1,4,1,1,5,71.43
